NM	Never mind
She didn't mean $40 Sis ... Step ya game up	She didn't mean $40 Sister ... Step your game up
ltm and i'm not even interested in tht fml	Laughing To Myself and i'm not even interested in that fuck my life
coz I wudnt wanna msg u to start explaining why I ddnt reply ur chat	because I would not wanna message you to start explaining why I did not reply your chat
CSG is Used to express a light hearted laugh	Chuckle, Snicker, Grin is Used to express a light hearted laugh
VRY	Very
KMA	Kiss My Ass
WTF ily i dont think that at all	what the fuck I love you i dont think that at all
OTB	Off to bed
danny I am trying to call you! wru@?	danny I am trying to call you! Where are you at?
PCM	Please call me
no doubt idk what yall are smokin	no doubt I do not know what you all are smoking
4 me	for me
HHOJ	Ha Ha Only Joking
NALOPKT	Not a lot of people know that
veg ppl save a lot of money compared to non veg counterparts	vegetarian people save a lot of money compared to non vegetarian counterparts
QFE	Question for everyone
ok honestly im rt-ing bc it's funny idk what's going on lmao	okay honestly im Retweet-ing because it's funny I do not know what's going on Laughing out loud
my tl is dead!!!	my time line (twitter) is dead!!!
how do u ppl come across ppl who have u blocked	how do you people come across people who have you blocked
YAOTM	Yet Another Off-Topic Message
pls do NOT learn japanese from my tl cause my japanese is rlly bad	please do NOT learn japanese from my Timeline (twitter) because my japanese is really bad
MMK	Mmm, okay
U choose ur decision imo	you choose your decision in my opinion
YIWGP	Yes, I Will Go Private
rlly rlly rlly wanna learn how to snowboard. Sos	really really really wanna learn how to snowboard. Help
SK8	Skate
TTLY	Totally
PFT	An exlamation of disbelief
sc did something i like for once wow , surprisingly i rlly like the gif feature they got	snapchat did something i like for once wow , surprisingly i really like the gif feature they got
idk wtf really went down bc that vid was SHIT	I do not know what the fuck really went down because that video was SHIT
IIABDFI	If It is not Broken Do not Fix It
B4N	Bye For Now
Her dress Wazznt beau but seriously folks she is pretty ASL	Her dress was not beautiful but seriously folks she is pretty as hell
Lmao Don't Entertain Me Right Now , I'm Drunk Asl	Laughing out loud Don't Entertain Me Right Now , I'm Drunk As Hell
Ladys lyk u are vry few	Ladys like you are very few
aftr	after
and then he just said "ttyl gal" with a wink!	and then he just said "talk to you later girl" with a wink!
CMIIW but r you going out tn	Correct Me If I am Wrong but are you going out tonight 
YSYD	Yeah sure you do
VGC	Very good condition
y r u nt welcomed in d US?	why are you not welcomed in the US?
TFTHAOT	Thanks For The Help Ahead Of Time
you are my hero, when you talks I hoyew	you are my hero, when you talks I Hanging On Your Every Word
OOTD	One of these days
YGWYPF	You Get What You Pay For
FS	For Sure
NOYB	None of your business
WAG	Wild Assed Guess
Her dress Wazznt beau BSF she is pretty as hell	Her dress was not beautiful but seriously folks she is pretty as hell
H&K	Hugs and Kisses
pissed	angry
Bartenders are either cool af or rude asl , there is NO in between	Bartenders are either cool as fuck or rude as hell , there is no in between
tbh this will rly make me happy on my bday	to be honest this will really make me happy on my birthday
Oh ok LOL yd u said u were beth	Oh ok Laughing Out Loud yesterday you said you were beth
rtbs no. 32 You don’t have to plan a wedding	Reason to be single no. 32 You don’t have to plan a wedding
I want a style atsl for my own wedding	I want a style along the same line for my own wedding
the marathon has forced me to come ftf with my physical limitations	the marathon has forced me to come face to face with my physical limitations
NIROK	Not in reach of keyboard
Bc he is a POS liberal who break laws for their own benefit	Because he is a Piece Of Shit liberal who break laws for their own benefit
Kinda what I'm doin already but I'll try youtube as well , thx m8	Kind of what I'm doing already but I'll try youtube as well , thanks mate
oh my god I CRS	Oh my God I Can not Remember Shit
JFI	Just For Information
JAS	Just A Second
idk what to think abt this drawing tbh	I do not know what to think about this drawing to be honest
BBL	Be Back Later
well YKW they say, BOHICA	well you know what they say, Bend Over, Here It Comes Again
NOOB	Not skilled person
u kno I do this 4u	you know I do this for you
S	Smile
DWIMNWIS	Do What I Mean, Not What I Say
XX	Kisses
I got to go CWYL	I got to go Chat with you later
I ttly fell down the stairs right in front of my crush. It wuz TMTH	I totally fell down the stairs right in front of my crush. It was too much to handle
STFU or QQ	Shut the fuck up or cry
TTYL	Talk to you later
UCMU	You crack me up
idk ur just rly needy	I do not know you are just really needy
Need a team for today ASAP	Need a team for today as soon as possible
this guy is tryna follo me on Instagram with 3 different accounts, send me a dm, and added me on sc too wtf	this guy is trying to follow me on Instagram with 3 different accounts, send me a send direct message (on twitter), and added me on snapchat too what the fuck
RL	Real life
lts You bday but we have 0 pics so happy bday sis	lts You birthday but we have 0 pictures so happy birthday sister
PL8	Plate
nhoh and nvr heard that story	Never Heard Of Her and never heard that story
WC	Welcome
WDYT	What do you think
don't judge a book by its cover IYSWIM	don't judge a book by its cover If You See What I Mean
Her dress was not beautiful BSF she is pretty as hell	Her dress was not beautiful but seriously folks she is pretty as hell
OOC	Out of character
oh ya forgot to say im in the library btw w/o my phone	oh yeah (yes) forgot to say im in the library by the way without my phone
hey qt idk u but wine&dine???	hey cutie I do not know you but wine&dine???
Her dress was not beau but seriously folks she is pretty as hell	Her dress was not beautiful but seriously folks she is pretty as hell
pls Correct Me If I am Wrong	please Correct Me If I am Wrong
omg Rell your such a guy girl get tf out my face u ain't touching my paper	oh my god Rell your such a guy girl get the fuck out my face you ain't touching my paper
u ask for my opinion so there it is: IMNSHO, u have great voice but u not a good composer	you ask for my opinion so there it is: In My Not So Humble Opinion, you have great voice but you not a good composer
i'm gonna make a private acct so lms if u want it	i'm gonna make a private account so Like my status (Facebook) if you want it
PITA	Pain in the ass
Omg this yg so cute! I took him with my bf to playing vid games	Omg this young gangster so cute! I took him with my boyfriend to playing video games
RUT	Are you there
For sure getting 2 tatts ASAP	For sure getting two tattoo as soon as possible
TAKS	That is a knee slapper
if ur afraid 2 die, u hav alredy died	if you are afraid to die, you have alredy died
1 of my fave	one of my favorite
gosh	gad
LNT	Meaning lost in translation
RIP Poor lil guy	rest in peace poor little guy
hey becky can we meet ftf?	hey becky can we meet face to face?
we all kno u r good n honest person	we all know you are good and honest person
oh dad idk how many times i must tell u im not interested in football	oh dad I do not know how many times i must tell you im not interested in football
school, work, family, friendship AND relationship… that's 2M2H	school, work, family, friendship AND relationship… that's too much to handle
GAS 2U	Greetings and Salutations to you
YYSSW	Yeah, yeah, sure, sure, whatever
ROTF	Rolling On The Floor
idk n not rly care with the time but y?	I do not know and not really care with the time but why?
UTM	You tell me
Her dress Wazznt beautiful but seriously folks she is pretty as hell	Her dress was not beautiful but seriously folks she is pretty as hell
this was a BWQ	this was a Buzz Word Quotient
Just got 1 pl8 bench	just got one plate bench
LLTA	Lots and Lots of Thunderous Applause
You can't park here! Orly	You can't park here! Oh really?
LoL ya feel me bro	Laughing out loud you understand me brother
Its early af	Its early as fuck
u can dm me anytime	you can send direct message (on twitter) me anytime
SMOP	Small Matter of Programming
follo	follow
EOL	End of Life
UFB	Un fucking believable
why do you insists on going there alone? Mtfbwu	why do you insists on going there alone? May the force be with you (Good luck)
FURTB	Full Up Ready To Burst
Till now i still cant believe it lol idk where it came from but srsly you're the lady luck	untill now i still cant believe it laughing out loud I do not know where it came from but seriously you're the lady luck
NGL	Not going to lie
so qt wtf	so cutie what the fuck
When I say I can't drink it's Bc I'm on antibiotics ppl	When I say I can't drink it's Because I'm on antibiotics people
Her dress Wazznt beautiful BSF she is pretty as hell	Her dress was not beautiful but seriously folks she is pretty as hell
oh my lorde wyd	oh my lorde what are you doing?
U r just an addict , ur r a junkie	you are just an addict , you are a junkie
TMTH	Too much to handle
i love u more bby mwah xoxo	i love you more baby kiss Kisses and Hugs
was thinking about that movie a sec before i saw ur tweet	was thinking about that movie a second before i saw your tweet
b4	before
I came f2f with her in the cafeteria	I came face to face with her in the cafeteria
always liking my tweets idk why u do it but I appreciate you mwah	always liking my tweets I do not know why you do it but I appreciate you kiss
YARLY	Yes, really
tatts	tattoo
sup baby gal — watching a movie w my family wbu	What's up baby girl — watching a movie with my family what about you
SICNR	Sorry, I could not resist
going out w ya girls more then BOOM fuck nigga got you pregnant	going out with your girls then BOOM fuck black man (offensive) got you pregnant
Wazznt	was not
BBFN	Bye Bye For Now
Meh , he's a lil over the top with international cultures	okay (not satisfied) , he's a lilttle over the top with international cultures
bday	birthday
RIP bird I shot	Rest in peace bird I shot
I want to go to that show! Wycm if you are going 2?	I want to go to that show! Will you call me if you are going too?
U mAk my hart melt	You make my heart melt
PD	Police department
Wtf are u saying man	What the fuck are you saying man
I know you will not listen to me so all I can do now is to wish you mtfbwy	I know you will not listen to me so all I can do now is to wish you may the force be with you (Good luck)
Just don't give up trying 2 do wat u really want 2 do	Just don't give up trying to do what you really want to do
SICS	Sitting In Chair Snickering
nfs im dead af off this 	no funny shit im dead as fuck off this 
Sounds like you're in a bit of a rut	Sounds like you're in a bit of a uncomfortable situation (or place)
CMIIW but you went there yesterday	Correct Me If I am Wrong but you went there yesterday
I g2g	I got to go
Pls DM me ur number	Please send direct message (on twitter) me your number
SUL guys	see you later guys
u prolly had no idea how far u would be now	you probably had no idea how far you would be now
FAQ	Frequently asked Questions
PDQ	Very quick
BION I am a fortune teller	Believe it or not I am a fortune teller
EG	Evil Grin
F2F	Face To Face
OIC	Oh, I see
the acronym CSG is Used to express a light hearted laugh	the acronym Chuckle, Snicker, Grin is Used to express a light hearted laugh
He's POTUS speaking to a hostile head of govt	He's President of the United States speaking to a hostile head of government
d	the
TYT	Take your time
NHOH	Never Heard Of Her
school, work, family, friendship AND relationship… that's TMTH	school, work, family, friendship AND relationship… that's too much to handle
mayb	maybe
tha big game is tomorrow so Be There Or Be Dead	the big game is tomorrow so Be There Or Be Dead
so u saying that idk whats been happening w/ my own life?	so you saying that i dont know whats been happening with my own life?
TYS	Told you so
WAM	Wait a minute
sep	especially
HART	heart
KIBO	Knowledge In, Bullsh*Out
u gotta vent abt it somewhere	you gotta vent about it somewhere
i only rted a vid w/o sound	i only retweeted (Twitter slang) a video without sound
ya I'm thriving wbu	yeah (yes) I'm thriving what about you
YKW	You know what
beautiful , in the best lane ofc , lysm and we should talk more xx	beautiful , in the best lane of course , love you so much and we should talk more Kisses
OTFL	On the floor laughing
SUITM	See you in the morning
BYKT don't trick me	But You Knew That don't trick me
ANFAWFOS	And Now For A Word From Our Sponsor
PLMK	Please let me know
yw very much	Your welcome very much
Meet him F2F for once	Meet him Face to Face for once
C&G	Chuckle and Grin
TRDMC	Tears Running Down My Cheeks
MOTOS	Member Of The Opposite Sex
WYCM	Will you call me
i shall be waiting 4u in the club	i shall be waiting for you in the club
tbh i dont rly like him	to be honest i dont really like him
the new version is now going under QC	the new version is now going under Quality control
thats super important, pls let me kno asaygt	thats super important, please let me know as soon as you get this
Sup Wakanda , it's me ya boi	what's up Wakanda , it's me your boy
LOLV	Lots Of Love
not the sharpest pencil in the box IYSWIM	not the sharpest pencil in the box If You See What I Mean
ily	I love you
say it louder for the ppl in the back sis	say it louder for the people in the back sister
P2P	Parent to parent
i'm sat here stalking my cousin's twitter tl bc it's always bombing w true shit	i'm sitting here stalking my cousin's twitter timeline because it's always bombing with true shit
OT	Off topic
Cardi B said... ”Fuck'em then I get some money”	Cardi be said... ”Fuck them then I get some money”
IIRC	If I Remember Correctly
if i can get u nd ur team mate autograh	if i can get you and your team mate autograh
That cheap camera I bought is broken already, I guss that's teach me WYGISWYPF	That cheap camera I bought is broken already, I guss that's teach me What You Get Is What You Pay For
Yw and ty very much ur sweet	Your welcome and thank you very much you are sweet
RBAY	Right back at you
yrs	years
sotmg, ttl	short of time,must go talk to you later
yall	you all
ur annoyed w my politics now??? just w8 til ima b on tv!!!!	you are annoyed with my politics now??? just wait until I will be on tv!!!!
PLOKTA	Press Lots Of Keys To Abort
NIMBY	Not in my back yard
Woke up hungry asl	Woke up hungry as hell
URTM	You are the man
when she ask "do I look fat?" and yttl to answer that's a problem	when she ask "do I look fat?" and you take too long to answer that's a problem
MRT	Modified ReTweet (Twitter slang)
sup bro	what's up brother
NTHING	Nothing
yk I will do a marathon of your fics later :)	you know I will do a marathon of your fictures later :)
pls CMIIW	please Correct Me If I am Wrong
ppl like You give rly good pointers / feedback for writing imo	people like You give really good pointers / feedback for writing in my opinion
lyk u mak mE	like you make me
I wiLL luv U 4ever	I will love you forever
TSH	Tripping so hard
WRUD	What are you doing
hey there, rys?	hey there, Are you single??
VFF	Very freaking funny
OB	Oh brother
‘cause	because
MLM	the middle finger
PYT	Pretty young thing
lmk if u want me or not , I'm not tryna waste my time	let me know if you want me or not , I'm not tring to waste my time
cant wait 2 move 2 a bigger room so i got more space 4 allllll my posters HAHAHA	cant wait to move to a bigger room so i got more space for all my posters laughing
IJWTS	I Just Want To Say
FYI	For Your Information
absolutely nthing bc i'm a lover not a fighter xoxo	absolutely nothing because i'm a lover not a fighter kisses and hugs
YCLIU	You can look it up
CYA next week BFN	see you next week bye for now
MOTD	Message of the day
SH^ or cry	Shut up or cry
lmk if u ever wanna chat or something!! it can be fun w/o pressure	let me know if you ever wanna chat or something!! it can be fun without pressure
Ngl nvr thought of it , still tryna tackle why	Not going to lie never thought of it , still trying to tackle why
I hate that, they always ask you wuf and such stuff	I hate that, they always ask you Where are you from? and such stuff
Omg can u imagine meet ur fave and introduce ur kid to them	Oh my god can you imagine meet your favorite and introduce your kid to them
MSG	Message
bbiab do not go anywhere	be back in a bit do not go anywhere
arggg	express anger
WBU	What about you
goin	going
MYOB	Mind your own business
I don't miss him IRL bc he is here with me , but I miss him being on twitter lol	I don't miss him in real life because he is here with me , but I miss him being on twitter Laughing Out Loud
Something that has to do w ur job mayb? I rly don't kno	Something that has to do with your job maybe? I really don't know
LLS	Laughing like silly
hey becky can we meet f2f?	hey becky can we meet face to face?
pmf but rachel is such a whore	Pardon my french but rachel is such a whore
if you or anyone you know can take on this task lmk ASAP	if you or anyone you know can take on this task Let me know As Soon As Possible
PMF	Pure Freaking Magic
My gf x follow me	My girlfriend former boyfriend (or girlfriend) follow me
idk why I thought it would be in English	I do not know why I thought it would be in English
ykw thats fine lyk i respect tht even with ur enthusiast for bby boi you still get the TRUTH	you know what thats fine like i respect that even with you are enthusiast for baby boy you still get the TRUTH
I'm not a fanboy of a fucking faggot who has no irl friends	I'm not a fanboy of a fucking gay man who has no in real life friends
RX	drugs or prescriptions
YG	young gangster
LMNK	Leave my name out
CID	Crying In Disgrace
omg I saw ur new gf	oh my god I saw your new girlfriend
kno	know
afaik it's true	as far as I know it is true
G2G	Got to Go
i'm a bit noob when it comes to game related terms	i'm a bit Not skilled person when it comes to game related terms
TPTB	The powers that be
see you tomorrow BFN	see you tomorrow bye for now
hsik what she thinks about it? Arg	How should I know what she thinks about it? express anger
OMG My mom is calling me for dinner so be seeing you	Oh my God my mom is calling me for dinner so be seeing you
happy bday!! good luck today , see you l8r ily	happy birthday!! good luck today , see you later I love you
ITSFWI	If The Shoe Fits Wear It
annie uok	annie are you okay
Her dress was not beau BSF she is pretty ASL	Her dress was not beautiful but seriously folks she is pretty as hell
CYA next week TTFN	see you next week bye bye for now
HAPPY BDAY KHIMDRICK ITS RLY UR BDAY THIS TIME LMAO	HAPPY Birthday KHIMDRICK ITS Really your Birthday THIS TIME laughing out loud
I love the holidays! Hhtyay mwah	I love the holidays! Happy Holidays to You and Yours kiss
I quite like them tbh	I quite like them to be honest
OMFG	Oh my fucking God
SK8RBOI	Skater Boy
shut the fuck up or QQ	Shut the fuck up or cry
Shut up or QQ	Shut up or cry
ORLY	Oh really?
amazin	amazing
PNCAH	Please, No Cursing Allowed Here
UNPC	Not politically correct
PMSL	Pee myself laughing
TOJ	Tears of joy
tom's friend? NHOH	tom's friend? Never Heard Of Him
I don't understand what's the BFD here	I do not understand what's the Big Frickin Deal here
LSV	Language, sex and violence
Yeah idk , I used to read my horoscope every day and then I grew up I guess lulz	Yeah I do not know , I used to read my horoscope every day and then I grew up I guess Laugh out loud
BYOB to my party	Bring Your Own Bottle to my party
jk imma fight ur ugly ass	just kidding I am going to fight your ugly ass
RUT	uncomfortable situation (or place)
BFN	Bye For Now
well u know what they say, Bend Over, Here It Comes Again	well you know what they say, Bend Over, Here It Comes Again
ppl treat u how they feel abt u	people treat you how they feel about you
I saw him this morning, he is BBR	I saw him this morning, he is Broken Beyond Repair
Despite 97 % of the media and so called Republicans hate POTUS, he keeps going Full Steam Ahead	Despite 97 % of the media and so called Republicans hate President of the United States, he keeps going Full Steam Ahead
I bet the govt had a great solution too	I bet the government had a great solution too
OMG My mom is calling me for dinner so be seeing you L8R	Oh my God my mom is calling me for dinner so be seeing you later
slay ur exams lyk a boss	slay your exams like a boss
TCOY	Take care of yourself
I betcha this movie is a good 1	I bet you this movie is a good one
Get yo ass to me pls pls pls	Get your ass to me please please please
SPK	Speak
WTTM	Without Thinking Too Much
R	Are
well you know what they say, BOHICA	well you know what they say, Bend Over, Here It Comes Again
CPP	C++ programing language
KYFC	Keep Your Fingers Crossed
URSKTM	You are so kind to me
WTFO	What the fuck? Over
WDYMBT	What Do You Mean By That
u are the only one who can cheer me up like that, LYSM	u are the only one who can cheer me up like that, Love you so much
it is less stressful cause u dont have to worry bout others	it is less stressful because you dont have to worry about others
Idk if u did me at all or not tbh	I do not know if you did me at all or not to be honest
RLCO	Real Life Conference
HHIS	Hanging Head In Shame
ngl when i like spam y'all , i'm not reading any of ur tweets	not going to lie when i like spam you all , i'm not reading any of your tweets
WYGAM	When you get a minute
TIAD	Tomorrow is another day
srsly? Now? Bc ima already late	seriously? Now? Because I am already late
bitch we have jobs. wbu???	bitch we have jobs. What about you???
ykw I mean…	you know what I mean…
WTN	What then now
SQ	Square
WITP	What is the point
BBR	Broken Beyond Repair
I'm doing a rly cool (pointless) 3 hours shift bc of ykw	I'm doing a really cool (pointless) 3 hours shift because of you know who
MAK	make
CUL	See you later
I have my team bak on a sat nite	I have my team back on a saturday night
2u	to you
Agreed wrt current education infrastructure and methodology	Agreed with regard to current education infrastructure and methodology
Fuck bo3 .. lol we out sry gg	fuck best of three (online gaming) .. Laughing out loud we out sorry good game
LYLAS. You are an amazing friend to have	love you like a sister. You are an amazing friend to have
This brand of soup is more expensive, but remember, WYGISWYPF	This brand of soup is more expensive, but remember, What You Get Is What You Pay For
My Lyf iz perfect	My life is perfect
u're	you are
these days are too busy for me so I can not handle that right now, I will TTYAWFN	these days are too busy for me so I can not handle that right now, I will Talk to you a while from now
this movie was shitty cuz it trash asl!	this movie was shitty because it trash as hell!
boiz are all atsl - only one thing on their minds	boys are all along the same line - only one thing on their minds
Lmao exactly like idk this might sound weird asl	Laughing out loud exactly like I don't know this might sound weird as hell
SYL	See you later
POS	Piece of Shit
ya i agree with u omg	yeah i agree with you oh my god
haha	laughing
fb	facebook
wish she would stfu lol	wish she would Shut the fuck up laughing out loud
U	you
OST	On Second Thoughts
RSVP by DM or email us	reply if you please by send direct message (on twitter) or email us
govt	government
issa	it is a
amazin'	amazing
NINO	Nothing In, Nothing Out
you are the best thing ever happened to me LYLC	you are the best thing ever happened to me Love you like crazy
pls don’t make such a Big Frickin Deal out of it	please don’t make such a Big Frickin Deal out of it
UN4TUN8	Unfortunate
PSP	Playstation Portable
sk8ng is fun	skating is fun
it is a fact that this corporation has a few women in top mgmt	it is a fact that this corporation has a few women in top management
UGTBK	You've got to be kidding
WUT	what
SHID	Slapping head in disgust
NFM	Not for me
MNC	Mother nature calls
baby you are the only one LUWAMH	baby you are the only one Love You With All My Heart
Thx lol you can dm me first	Thanks laughing out loud you can send direct message (on twitter) me first
OLL	Online love
TINWIS	That Is Not What I Said
When you tryna b cool and say sup bro	When you trying to be cool and say what's up brother
cb	call back
sat	saturday
happy bday my forever i love you since day 1 , no more long msg cause u know da rest!	happy birthday my forever i love you since day one , no more long message because you know the rest!
I need ya Weed mans number asap	I need your Weed mans number as soon as possible
GD&WVF	Grinning, Ducking, and Walking Very Fast
WUW	What do you want
Pls don't say that. RU serious?	Please don't say that. Are you serious?
rn	right now
how much imma spend on food today lmmfao	how much I am going to spend on food today Laughing out loud
URH	You are hot
I ttly fell down the stairs right in front of my crush. It wuz 2M2H	I totally fell down the stairs right in front of my crush. It was too much to handle
YEAH but ur rly qt	YEAH but you are really cutie
MUSM	Miss you so much
NTS	Note to self
RSN	Real soon now
MEH	okay (not satisfied)
If ya not my best friend to this levels then u don't deserve me pita vile	If you not my best friend to this levels then you don't deserve me pain in the ass vile
Lol that's bs wyd lil bro	Laughing out loud that's bullshit what are you doing lilttle brother
TNTL	Trying Not To Laugh
IYSS	If You Say So
RUOK	Are you okay
YWSYLS	You win some, you lose some
JWK	Just Wondering
Can some1 pls be my frnd and make plans w me in the summer thx	Can someone please be my friend and make plans with me in the summer thanks
SNAFU	Situation normal all fouled up
NM	Nothing much
FCFS	First Come, First Served
omg havent seen her pictures in so long OTL i rly like her	oh my god havent seen her pictures in so long express desperation i really like her
he was so sweet and when he walked me home I was lyk "wycm?"	he was so sweet and when he walked me home I was like "will you call me?"
ok girl, TTUL	ok girl, talk to you later
LSHMBA	Laughing So Hard My Belly Aches
RIP	Rest in peace
don't hmu if u aren't trying to fall in luv w me k thx	don't hit me up (text me or call me) if you aren't trying to fall in love with me okay thanks
N2M	Nothing too much
Oh my God my mom is calling me for dinner so BCNU L8R	Oh my God my mom is calling me for dinner so be seeing you later
TMWFI	Take my word for it
dnt	do not
k but ngl , i'm so conflicted abt that	okay but not going to lie , i'm so conflicted about that
OYO	On your own
LSHMBH this is the best chapter ever	Laughing So Hard My Belly Hurts this is the best chapter ever
Im a total noob and need people on my level haha	Im a total Not skilled person and need people on my level Laughing
TMA	Take my advice
lotta	a lot of
RYO	Roll your own
ex	former husband (or wife)
I miss my man , pls cb asap	I miss my man , please call back as soon as possible
x	ex
nvm sis	never mind sister
I don't know y he cruises the park. That place is AYOR	I don't know why he cruises the park. That place is at your own risk
IF I NVR WENT BAK 2 JAIL I CUD OV BIN DEAD	IF I NEVER WENT Back to JAIL I could have Been DEAD
gay asl	gay as hell
Lqtm well idk just lmk	Laughing quietly to myself well I do not know just let me know
CMIIW but r you goin out tonight	Correct Me If I am Wrong but are you going out tonight 
BYKT	But You Knew That
WEP	Weapon
SMHID	Scratching my head in disbelief
NBD	No big deal
PABG	Packing a Big Gun
WTF I JUST FOUND THIS TODAY	What The Fuck I JUST FOUND THIS TODAY
What's your favorite PROGGY?	What's your favorite computer program?
meh I come this far , I'll push it till four a.m	okay (not satisfied) I come this far , I'll push it untill four a.m
rlly	really
cul8r guys	see you later guys
Correct Me If I am Wrong but r u goin out tn	Correct Me If I am Wrong but are you going out tonight 
NFW	Not for work
SK8R	Skater
MTFBWY	May The Force Be With You (Good luck)
come here b4 ima falling asleep	come here before I am falling asleep
WYWH	Wish you were here
I h8 it when in the most suspenseful moment they said ANFAWFOS arggg	I hate it when in the most suspenseful moment they said And Now For A Word From Our Sponsor express anger
PMP	Peeing My Pants
let me get ready 4 work	let me get ready for work
M$	Microsoft
omg u sound like my lil sis	oh my god you sound like my lilttle sister
Ya, what wuz tht? tryin to hurt him?	Yeah (yes), what waz that? trying to hurt him?
WITW	What in the world
ryt	right
lyk u make mE	like you make me
AFAIK	As Far As I Know
HHTYAY	Happy Holidays to You and Yours
PZA	Pizza
T4BU	Thanks for being you
ok honey ttg ima ttyl	ok honey time to go I will talk to you later
WTM	Who's the man
I need to go on a date w/ her asap	I need to go on a date with her as soon as possible
WIIFM	What's in it for me?
I'm heated nfs	I'm heated no funny shit
LY	Love You
ROFLAS	Rolling On Floor Laughing And Screaming
TOU	Thinking of you
FUBAR	Fouled Up Beyond All Repair
I wiLL luv U 4 ever m8	I will love you forever mate
GOOD LUCK BRAVE GRL WATCH YA BACK AND DONT DISAPPEAR	GOOD LUCK BRAVE GIRL WATCH Your BACK AND DONT DISAPPEAR
Tn was fun asl	Tonight was fun as hell
y u think he will win d 2018 elections?	why you think he will win the 2018 elections?
SAPFU	Surpassing All Previous Foul Ups
LTOD	Laptop of death
my legs are pale af but my thighs are a lil brown. Wtf is up with that	my legs are pale af but my thighs are a lilttle brown. What the fuck is up with that
Wat r u ppl discussing?? U r nt frnds	What are you people discussing? you are not friends
thx couldnt have done it w/o ur deep speech	thanks couldnt have done it with out your deep speech
LYLAS	Love You Like A Sister
2b or not 2b, that's the question	to be or not to be, that's the question
yw ofc ur so cute	your welcome of course you are so cute
lmk pls i need ur help	let me know please I need your help
RYB	Read your Bible
Nvm fool lol nvm	Never mind fool Laughing Out Loud never mind
Hey, lets go sk8ng	Hey, lets go skating
Frnds, this (mostly) XLNT day. Wkd&wk are done	Friends, this (mostly) excellent day. Weekend&week are done
What discounts ru offering ppl who are against weapons of war?	What discounts are you offering people who are against weapons of war?
ok ppl r getting online kinda so i'll wait till later to finish	ok people are getting online kind off so i'll wait untill later to finish
OTOH	On the other hand
argg hsik what is wrong, what is right	express anger How Should I Know what is wrong, what is right
it's fragile so handle w care pls	it's fragile so handle with care pealse
QFI	Quoted for idiocy
I asked her how are you and she said NINO	I asked her how are you and she said Nothing In, Nothing Out
needs to puks from school	needs to Pick up kids from school
afaic, the issue is over and done with	As far as I am concerned, the issue is over and done with
Me LTM as I was introducing myself	Me Laughing to myself as I was introducing myself
I CRS anymore	I Can not Remember Shit anymore
LYLAB. You are an amazing friend to have	love you like a brother. You are an amazing friend to have
RU	Are you
STFU or cry	Shut the fuck up or cry
like y do u h8 us sis	like why do you hate us sister
ok girl, TTYS	ok girl, talk to you soon
SETE	Smiling Ear-to-Ear
mvp	Most Valuable Player
IWALU	I Will Always Love You
cuz im the real genius mvp lol	because im the real genius most valuable player laughing out loud
G1	Good One
happy bday! have to see u ASAP xxx	happy birthday! have to see you as soon as possible kisses
imo their songs r cheap	in my opinion their songs are cheap
wait y would VEG be in that equation lmfao	wait why would vegetarian be in that equation laughing out loud
TAM	Tomorro AM
AWC	After While, Crocodile
SRSLY	Seriously
CULA, after a while crocodile 	See you later alligator, after a while crocodile 
PZ	Peace
TTBOMK	To The Best Of My Knowledge
PTFO	Pass the fuck out
WIBAMU	Well, I will Be A Monkey's Uncle
I will do everything 4ur happiness	I will do everything for your happiness
I g2g CWYL	I got to go Chat with you later
TFS	Three Finger Salute (Ctl-Alt-Del)
TFTT	Thanks For The Thought
N1	Nice one
Lol why my ex texting me at 1am	Laughing out loud why my former boyfriend (or girlfriend) texting me at 1am
OI	Operator indisposed
xme, I nvr said that	Excuse Me, I never said that
Anthony sux lol haha what a bitch bro	Anthony sucks laughing out loud laughing what a bitch brother
It made me rlly happy so i had to lyk	It made me really happy so i had to like
NFS	Not for sale
PTL	Praise the Lord
TYSO	Thank you so much
my horrible ex give me a rtbs right now	my horrible former boyfriend (or girlfriend) give me a Reason to be single right now
Im good ty for asking and ty for ur wish	Im good thank you for asking and thank you for your wish
thought u seemed rlly cute n sweet but then i got rlly annoyed	thought you seemed really cute and sweet but then i got really annoyed
CU	See You
got to go BFN	got to go Bye for now
jk rly thinks its cute to saying he'd call his gf honey	just kidding really thinks its cute to saying he'd call his girlfriend honey
AFK	Away From the Keyboard
what is your favorite PROGGY?	what is your favorite computer program?
WASH UR FACE EVERY MORNING AND EVERY NIGHT AND WATCH UR SKIN GLOW YW	WASH your FACE EVERY MORNING AND EVERY NIGHT AND WATCH your SKIN GLOW Your Welcome
g2g BBFN	got to go Bye Bye for now
I hate that, they always ask you wayf and such stuff	I hate that, they always ask you Where are you from? and such stuff
pls teach me how to be u asap!!!	please teach me how to be you as soon as possible!!!
I asked her how are you and she said N2M	I asked her how are you and she said Nothing too much
oh k cya soon	oh okay see you soon
g2g B4N	got to go Bye for now
WCA	Who cares anyway
CMIIW but r you goin out tn	Correct Me If I am Wrong but are you going out tonight 
SSDD	Same stuff, different day
Lolwtf I went outside w no jewelry tf	Laughing out loud and saying What the fuck I went outside with no jewelry the fuck
stfu abt ur terrorist bf	shut the fuck up about your terrorist boyfriend
URA*	You are a star
big fan following u from ur 1st film as d film passes u r giving ur best	big fan following you from your 1st film as the film passes you are giving your best
ETLA	Extended Three Letter Acronym
